position,source_index,db_id,difficulty,question,evidence,gold_sql,valid_sql_baseline_no_evidence,execution_match_baseline_no_evidence,normalized_exact_match_baseline_no_evidence,input_token_count_baseline_no_evidence,output_token_count_baseline_no_evidence,generation_seconds_baseline_no_evidence,predicted_sql_baseline_no_evidence,sql_error_baseline_no_evidence,pipeline_error_baseline_no_evidence,valid_sql_baseline_with_evidence,execution_match_baseline_with_evidence,normalized_exact_match_baseline_with_evidence,input_token_count_baseline_with_evidence,output_token_count_baseline_with_evidence,generation_seconds_baseline_with_evidence,predicted_sql_baseline_with_evidence,sql_error_baseline_with_evidence,pipeline_error_baseline_with_evidence,valid_sql_sft_no_evidence,execution_match_sft_no_evidence,normalized_exact_match_sft_no_evidence,input_token_count_sft_no_evidence,output_token_count_sft_no_evidence,generation_seconds_sft_no_evidence,predicted_sql_sft_no_evidence,sql_error_sft_no_evidence,pipeline_error_sft_no_evidence,valid_sql_sft_with_evidence,execution_match_sft_with_evidence,normalized_exact_match_sft_with_evidence,input_token_count_sft_with_evidence,output_token_count_sft_with_evidence,generation_seconds_sft_with_evidence,predicted_sql_sft_with_evidence,sql_error_sft_with_evidence,pipeline_error_sft_with_evidence,correct_baseline_no_evidence,valid_baseline_no_evidence,correct_baseline_with_evidence,valid_baseline_with_evidence,correct_sft_no_evidence,valid_sft_no_evidence,correct_sft_with_evidence,valid_sft_with_evidence,change_evidence_effect_base,change_evidence_effect_sft,change_sft_effect_no_evidence,change_sft_effect_with_evidence
99,99,thrombosis_prediction,moderate,What percentage of patients who were born in 1980 and were diagnosed with RA are women?,"born in 1980 refers to YEAR(BIRTHDAY) = '1980'; 'RA' refers to Diagnosis='RA' ; women refers to SEX = 'F'; calculation = DIVIDE(SUM(SEX = 'F'), COUNT(SEX)) * 100","SELECT CAST(SUM(CASE WHEN SEX = 'F' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(ID) FROM Patient WHERE Diagnosis = 'RA' AND STRFTIME('%Y', Birthday) = '1980'",True,False,False,711,85,2.611633569999981,"SELECT CAST(SUM(CASE WHEN T1.SEX = 'F' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Birthday) = '1980' AND T2.Diagnosis = 'RA'",,,True,True,False,770,57,1.836369280000099,"SELECT CAST(SUM(CASE WHEN SEX = 'F' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(ID) FROM Patient WHERE STRFTIME('%Y', Birthday) = '1980' AND Diagnosis = 'RA'",,,True,False,False,711,85,5.796342026000275,"SELECT CAST(SUM(CASE WHEN T1.SEX = 'F' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Birthday) = '1980' AND T2.RA = 'RA'",,,True,False,False,770,84,5.7198971590005385,"SELECT CAST(COUNT(CASE WHEN T1.SEX = 'F' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Birthday) = '1980' AND T2.Diagnosis = 'RA'",,,False,True,True,True,False,True,False,True,improved,both_wrong,both_wrong,regressed
100,100,thrombosis_prediction,moderate,Was the patient with the number 57266's uric acid within a normal range?,uric acid within a normal range refers to UA > 8.0 and SEX = 'M'OR UA > 6.5 and SEX = 'F',SELECT CASE WHEN (T1.SEX = 'F' AND T2.UA > 6.5) OR (T1.SEX = 'M' AND T2.UA > 8.0) THEN true ELSE false END FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.ID = 57266,True,False,False,711,41,1.2906189269999686,SELECT CASE WHEN UA BETWEEN 3.4 AND 7 THEN 'Normal' ELSE 'Abnormal' END AS Uric_Acid_Range FROM Laboratory WHERE ID = 57266,,,False,False,False,743,50,1.579704227000093,SELECT CASE WHEN UA > 8 AND SEX = 'M' OR UA > 6.5 AND SEX = 'F' THEN 'Yes' ELSE 'No' END AS NormalRange FROM Laboratory WHERE ID = 57266,no such column: SEX,,True,False,False,711,36,2.493712621999748,SELECT CASE WHEN UA BETWEEN 200 AND 400 THEN 'Normal' ELSE 'Abnormal' END FROM Laboratory WHERE ID = 57266,,,True,False,False,743,80,5.495508895000057,SELECT CASE WHEN T2.UA > 8 AND T1.SEX = 'M' OR T2.UA > 6.5 AND T1.SEX = 'F' THEN 'YES' ELSE 'NO' END AS result FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.ID = 57266,,,False,True,False,False,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
101,101,thrombosis_prediction,moderate,Provide IDs for male patients with ALT glutamic pylvic transaminase (GPT) that have history of ALT glutamic pylvic transaminase (GPT) exceed the normal range.,male refers to SEX = 'M'; ALT glutamic pylvic transaminase (GPT) exceed the normal range refers to GPT > = 60,SELECT DISTINCT T1.ID FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'M' AND T2.GPT >= 60,True,False,False,731,49,1.5152118960000962,SELECT DISTINCT T1.ID FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'Male' AND T2.GPT > ( SELECT AVG(GPT) FROM Laboratory ),,,True,True,False,764,43,1.3469887250000738,SELECT DISTINCT T1.ID FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T2.SEX = 'M' AND T1.GPT >= 60,,,True,False,False,731,43,2.944373687999814,SELECT DISTINCT T1.ID FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T2.SEX = 'Male' AND T1.GPT > 50,,,True,True,False,764,43,2.9553255210003044,SELECT DISTINCT T1.ID FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T2.SEX = 'M' AND T1.GPT >= 60,,,False,True,True,True,False,True,True,True,improved,improved,both_wrong,both_correct
102,102,thrombosis_prediction,moderate,Please provide the diagnosis of patients with ALT glutamic pylvic transaminase beyond the normal range by ascending order of their date of birth.,"ALT glutamic pylvic transaminase beyond the normal range refers to GPT > 60; The larger the birthday value, the younger the person is, and vice versa; ",SELECT DISTINCT T1.Diagnosis FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GPT > 60 ORDER BY T1.Birthday ASC,False,False,False,719,42,1.3037539089999655,SELECT DISTINCT T2.Diagnosis FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.ALAT > 40 ORDER BY T2.Birthday ASC,no such column: T1.ALAT,,True,True,False,755,42,1.3150600709998344,SELECT DISTINCT T2.Diagnosis FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.GPT > 60 ORDER BY T2.Birthday ASC,,,False,False,False,719,42,2.897726812000201,SELECT DISTINCT T2.Diagnosis FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.ALAT > 60 ORDER BY T2.Birthday ASC,no such column: T1.ALAT,,True,True,False,755,42,2.8847382110006947,SELECT DISTINCT T2.Diagnosis FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.GPT > 60 ORDER BY T2.Birthday ASC,,,False,False,True,True,False,False,True,True,improved,improved,both_wrong,both_correct
103,103,thrombosis_prediction,simple,"Provide all ID, sex and birthday of patients whose urea nitrogen (UN) just within the borderline of passing?",urea nitrogen (UN) just within the borderline of passing refers to UN = 29; ,"SELECT DISTINCT T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.UN = 29",True,False,False,713,44,1.4265352979999761,"SELECT T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.UN BETWEEN 6 AND 8",,,True,True,True,731,43,1.354399014999899,"SELECT DISTINCT T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.UN = 29",,,True,False,False,713,45,3.083858002999932,"SELECT DISTINCT T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.UN BETWEEN 6 AND 8",,,True,True,True,731,43,2.959849892999955,"SELECT DISTINCT T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.UN = 29",,,False,True,True,True,False,True,True,True,improved,improved,both_wrong,both_correct
104,104,thrombosis_prediction,moderate,List and group all patients by sex for total bilirubin (T-BIL) level not within the normal range.,List refers to GROUP_CONCAT(DISTINCT ID); total bilirubin (T-BIL) not within normal range refers to T-BIL > = 2.0,"SELECT T1.ID,T1.SEX FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.`T-BIL` >= 2.0 GROUP BY T1.SEX,T1.ID",True,False,False,715,70,2.195891833000019,"SELECT T1.SEX, SUM(T2.`T-BIL`) AS TotalTBIL FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.`T-BIL` < 0.6 OR T2.`T-BIL` > 1.2 GROUP BY T1.SEX",,,True,False,False,750,67,2.084291516000121,"SELECT DISTINCT CASE WHEN T1.SEX = 'Male' THEN 'Male' ELSE 'Female' END AS Gender, GROUP_CONCAT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.`T-BIL` >= 2.0",,,True,False,False,715,54,3.7226575619997675,SELECT T1.SEX FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.`T-BIL` < 6 OR T2.`T-BIL` > 19 GROUP BY T1.SEX,,,True,False,False,750,70,4.810751926000194,"SELECT DISTINCT CASE WHEN T1.SEX = 'F' THEN T1.ID END AS F , CASE WHEN T1.SEX = 'M' THEN T1.ID END AS M FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.`T-BIL` >= 2.0",,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
105,105,thrombosis_prediction,moderate,What is the average age of the male patient with high cholesterol?,"average age = DIVIDE(SUM(SUBTRACT(YEAR(NOW()), YEAR(birthday))), COUNT(ID)); male patient refers to sex = 'M'; high cholesterol refers to `T-CHO` > = 250;","SELECT AVG(STRFTIME('%Y', date('NOW')) - STRFTIME('%Y', T1.Birthday)) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.`T-CHO` >= 250 AND T1.SEX = 'M'",False,False,False,703,71,2.2107590659999232,SELECT AVG(JULIANDAY(T1.`First Date`) - JULIANDAY(T1.Birthday)) / 365 AS AverageAge FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'Male' AND T2.T_cho > 200,no such column: T2.T_cho,,True,False,False,748,53,1.64118669100003,"SELECT AVG(STRFTIME('%Y', 'now') - STRFTIME('%Y', Birthday)) AS AverageAge FROM Patient WHERE ID IN ( SELECT ID FROM Laboratory WHERE `T-CHO` >= 250 ) AND SEX = 'M'",,,True,False,False,703,50,3.4672952720002286,"SELECT AVG(STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', Birthday)) FROM Patient WHERE ID IN ( SELECT ID FROM Laboratory WHERE `T-CHO` > 5.6 ) AND SEX = '男'",,,False,False,False,748,74,5.1351646619996245,"SELECT CAST(SUM(STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', Birthday))) AS REAL) / COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.SEX = 'M' AND T2.`T-CHO` >= 250","near "")"": syntax error",,False,False,False,True,False,True,False,False,both_wrong,both_wrong,both_wrong,both_wrong
106,106,thrombosis_prediction,moderate,"For all patients with triglyceride (TG) level beyond the normal range, how many are age more than 50 years?","triglyceride (TG) level beyond the normal range refers to TG > = 200; more than 50 years of age = SUBTRACT(year(current_timestamp), year(Birthday)) > 50; Should consider DISTINCT in the final result;","SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TG >= 200 AND STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) > 50",True,False,False,717,61,1.8865249049999875,"SELECT COUNT(DISTINCT T1.ID) FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.TG > 150 AND strftime('%Y', 'now') - strftime('%Y', T2.Birthday) > 50",,,True,True,False,769,61,1.9996431749998465,"SELECT COUNT(DISTINCT T1.ID) FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.TG >= 200 AND strftime('%Y', 'now') - strftime('%Y', T2.Birthday) > 50",,,True,False,False,717,61,4.185991260999799,"SELECT COUNT(T1.ID) FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.TG > 150 AND strftime('%Y', T2.Birthday) - strftime('%Y', T2.`First Date`) > 50",,,True,True,False,769,65,4.495618934000049,"SELECT COUNT(DISTINCT T1.ID) FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T2.Birthday) > 50 AND T1.TG >= 200",,,False,True,True,True,False,True,True,True,improved,improved,both_wrong,both_correct
107,107,thrombosis_prediction,challenging,"For patient born between 1936-1956, how many male patients have creatinine phosphokinase beyond the normal range?",born between 1936-1956 refers to year(Birthday) BETWEEN '1936' AND '1956'; male patients refers to sex = 'M'; creatinine phosphokinase beyond the normal range refers to CPK > = 250; Should consider DISTINCT in the final result;,"SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Birthday) BETWEEN '1936' AND '1956' AND T1.SEX = 'M' AND T2.CPK >= 250",True,False,False,720,76,2.349643525000033,SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Birthday BETWEEN '1936-01-01' AND '1956-12-31' AND T1.SEX = 'Male' AND T2.CPK > 180,,,True,True,True,787,74,2.35605664600007,"SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Birthday) BETWEEN '1936' AND '1956' AND T1.SEX = 'M' AND T2.CPK >= 250",,,True,False,False,720,76,5.180565067999851,SELECT COUNT(T1.ID) FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T2.Birthday BETWEEN '1936-01-01' AND '1956-12-31' AND T2.SEX = 'Male' AND T1.CPK > 180,,,True,True,False,787,74,5.094309307000003,"SELECT COUNT(DISTINCT T1.ID) FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T2.Birthday) BETWEEN '1936' AND '1956' AND T2.SEX = 'M' AND T1.CPK >= 250",,,False,True,True,True,False,True,True,True,improved,improved,both_wrong,both_correct
108,108,thrombosis_prediction,challenging,"Provide ID, sex and age of patient who has blood glucose (GLU) not within normal range but with total cholesterol(T-CHO) within normal range.","age = SUBTRACT(year(current_timestamp), year(Birthday)); blood glucose (GLU) not within normal range refers to GLU > = 180; total cholesterol(T-CHO) within normal range refers to `T-CHO` < 250; ","SELECT DISTINCT T1.ID, T1.SEX , STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GLU >= 180 AND T2.`T-CHO` < 250",False,False,False,722,82,2.512780748999944,"SELECT DISTINCT T1.ID, T1.SEX, julianday('now') - julianday(T1.Birthday) AS Age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GLU NOT BETWEEN 3.9 AND 6.1 AND T2.T_cho BETWEEN 5.2 AND 200",no such column: T2.T_cho,,True,True,False,775,77,2.3892858059998616,"SELECT DISTINCT T1.ID, T1.SEX, STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) AS age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GLU >= 180 AND T2.`T-CHO` < 250",,,False,False,False,722,77,5.2428859779997765,"SELECT DISTINCT T1.ID, T1.SEX ,strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GLU < 6.1 AND T2.T_cho BETWEEN 5.2 AND 19.8",no such column: T2.T_cho,,True,True,False,775,73,5.002925331999904,"SELECT DISTINCT T1.ID, T1.SEX , strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GLU >= 180 AND T2.`T-CHO` < 250",,,False,False,True,True,False,False,True,True,improved,improved,both_wrong,both_correct
109,109,thrombosis_prediction,moderate,What are the patient's diagnosis for those who has lower red blood blood cell? State their ID and age.,"patient's diagnosis refers to Diagnosis; lower red blood cell refers to RBC < 3.5; age = SUBTRACT(year(current_timestamp), year(Birthday)); ","SELECT DISTINCT T1.Diagnosis, T1.ID , STRFTIME('%Y', CURRENT_TIMESTAMP) -STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RBC < 3.5",True,False,False,712,36,1.1603231079999432,"SELECT P.ID, P.Birthday FROM Patient AS P JOIN Laboratory AS L ON P.ID = L.ID WHERE L.RBC < ( SELECT AVG(RBC) FROM Laboratory )",,,True,False,False,743,59,1.8496880899999724,"SELECT T1.ID, strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS Age, T1.Diagnosis FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RBC < 3.5",,,True,False,False,712,55,3.7716279719998056,"SELECT DISTINCT T1.ID , strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RBC < 4.5",,,True,False,False,743,55,3.7739393880001444,"SELECT DISTINCT T1.ID , strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.RBC < 3.5",,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
110,110,thrombosis_prediction,moderate,"Among the patients who were diagnosed with SLE, who is the oldest with normal hemoglobin level. Provide the ID and sex.","diagnosed with SLE refers to Diagnosis = 'SLE'; The larger the birthday value, the younger the person is, and vice versa; normal hemoglobin level refers to 10 < HGB < 17;","SELECT T1.ID, T1.SEX FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Diagnosis = 'SLE' AND T2.HGB > 10 AND T2.HGB < 17 ORDER BY T1.Birthday ASC LIMIT 1",False,False,False,716,57,1.8088528550000547,"SELECT T1.ID, T1.SEX FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE T1.Diagnosis = 'SLE' AND T1.HGB IS NOT NULL ORDER BY T1.Birthday ASC LIMIT 1",no such column: T1.HGB,,True,True,False,761,62,1.9204123219999474,"SELECT T1.ID, T1.SEX FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Diagnosis = 'SLE' AND T2.HGB BETWEEN 10 AND 17 ORDER BY T1.Birthday ASC LIMIT 1",,,True,False,False,716,58,3.96104335300015,"SELECT T1.ID, T1.SEX FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Diagnosis = 'SLE' AND T2.HGB > 130 ORDER BY T1.Birthday LIMIT 1",,,True,True,False,761,61,4.182188499999938,"SELECT T1.ID, T1.SEX FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.Diagnosis = 'SLE' AND T2.HGB BETWEEN 10 AND 17 ORDER BY T1.Birthday LIMIT 1",,,False,False,True,True,False,True,True,True,improved,improved,both_wrong,both_correct
111,111,thrombosis_prediction,challenging,Name the ID and age of patient with two or more laboratory examinations which show their hematoclit level exceeded the normal range.,"age = SUBTRACT(year(current_timestamp), year(Birthday)); patient with two or more laboratory examinations refers to COUNT(ID) > 2; hematoclit level exceeded the normal range refers to HCT > = 52;","SELECT DISTINCT T1.ID, STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.ID IN ( SELECT ID FROM Laboratory WHERE HCT >= 52 GROUP BY ID HAVING COUNT(ID) >= 2 )",True,False,False,715,62,1.9210157210000034,"SELECT P.ID, JULIANDAY('now') - JULIANDAY(P.Birthday) / 365 AS Age FROM Patient P JOIN Laboratory L ON P.ID = L.ID WHERE L.HCT > 48 GROUP BY P.ID HAVING COUNT(L.ID) >= 2",,,True,False,False,759,69,2.143745837000097,"SELECT DISTINCT T1.ID, strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS Age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.HCT >= 52 GROUP BY T1.ID HAVING COUNT(T2.ID) > 2",,,True,False,False,715,69,4.704528631999892,"SELECT DISTINCT T1.ID , strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.HCT > 45 GROUP BY T1.ID HAVING COUNT(T2.Date) >= 2",,,True,False,False,759,69,4.742580432999603,"SELECT DISTINCT T1.ID , strftime('%Y', 'now') - strftime('%Y', T1.Birthday) AS age FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.HCT >= 52 GROUP BY T1.ID HAVING COUNT(T1.ID) > 2",,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
112,112,thrombosis_prediction,challenging,"For patients with abnormal platelet level, state the number of patients with lower than normal range. How is it compare to the number of patients with higher than normal range?","abnormal platelet level refers to PLT <= 100 or PLT >= 400; platelet level lower than normal range refers to PLT < 100; calculation = SUBTRACT(SUM(PLT < 100), SUM(PLT > 400)); platelet level higher than normal range refers to PLT > 400;",SELECT SUM(CASE WHEN T2.PLT <= 100 THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.PLT >= 400 THEN 1 ELSE 0 END) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID,True,False,False,724,63,1.956106216999956,"SELECT SUM(CASE WHEN PLT < ( SELECT AVG(PLT) FROM Laboratory ) THEN 1 ELSE 0 END) AS LowerThanNormal, SUM(CASE WHEN PLT > ( SELECT AVG(PLT) FROM Laboratory ) THEN 1 ELSE 0 END) AS HigherThanNormal FROM Laboratory",,,True,False,False,804,61,1.9994913349999024,SELECT SUM(CASE WHEN PLT < 100 THEN 1 ELSE 0 END) - SUM(CASE WHEN PLT > 400 THEN 1 ELSE 0 END) AS difference FROM Laboratory WHERE PLT <= 100 OR PLT >= 400,,,True,False,False,724,45,3.1053588240001773,"SELECT SUM(CASE WHEN PLT < 150 THEN 1 ELSE 0 END), SUM(CASE WHEN PLT > 450 THEN 1 ELSE 0 END) FROM Laboratory GROUP BY ID",,,True,False,False,804,86,5.908428435999667,SELECT SUM(CASE WHEN T1.PLT < 100 THEN 1 ELSE 0 END) - SUM(CASE WHEN T1.PLT > 400 THEN 1 ELSE 0 END) AS DIFF FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE T1.PLT <= 100 OR T1.PLT >= 400,,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
113,113,thrombosis_prediction,challenging,"For laboratory examinations take in 1984, list all patients below 50 years old with normal platelet level.","laboratory examinations take in 1984 refers to YEAR(Date) = '1984'; below 50 years old = SUBTRACT(year(current_timestamp), year(Birthday)) < 50; normal platelet level refers to PLT between 100 and 400; ","SELECT DISTINCT T1.ID FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.PLT BETWEEN 100 AND 400 AND STRFTIME('%Y', T2.Date) - STRFTIME('%Y', T1.Birthday) < 50 AND STRFTIME('%Y', T2.Date) = '1984'",True,False,False,716,69,2.1312070879999965,"SELECT DISTINCT P.ID FROM Patient AS P INNER JOIN Laboratory AS L ON P.ID = L.ID WHERE strftime('%Y', L.Date) = '1984' AND P.Birthday > date('now','-50 year') AND L.PLT IS NOT NULL AND L.PLT BETWEEN 150 AND 450",,,True,False,False,778,85,2.6896720239999468,"SELECT DISTINCT T1.ID FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Date) = '1984' AND (STRFTIME('%Y', 'now') - STRFTIME('%Y', T2.Birthday)) < 50 AND T1.PLT BETWEEN 100 AND 400",,,True,False,False,716,65,4.437306915000136,"SELECT DISTINCT T1.ID FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE strftime('%Y', T1.Date) = '1984' AND T2.Birthday IS NOT NULL AND T2.Birthday != '' AND T1.PLT < 50",,,True,False,False,778,80,5.478182382000341,"SELECT DISTINCT T1.ID FROM Laboratory AS T1 INNER JOIN Patient AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T1.Date) = '1984' AND strftime('%Y', 'now') - strftime('%Y', T2.Birthday) < 50 AND T1.PLT BETWEEN 100 AND 400",,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
